id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
113,-100,-60.0,40.0,2.5,1.0,-58.3,56.54,34.77,0.3574
112,-100,-60.0,40.0,2.0,10.0,-67.23,53.6,37.12,0.7063
115,-100,-60.0,40.0,2.5,4.0,-60.62,46.39,42.89,0.5939
114,-100,-60.0,40.0,2.5,2.5,-58.42,40.57,47.55,0.5047
116,-100,-60.0,40.0,2.5,5.5,-60.32,43.3,45.37,0.3839
118,-100,-60.0,40.0,2.5,8.5,-60.9233,45.9,43.28,0.7229
117,-100,-60.0,40.0,2.5,7.0,-55.82,25.95,59.25,0.358
120,-100,-60.0,40.0,3.0,1.0,-51.0967,40.65,47.49,0.1832
119,-100,-60.0,40.0,2.5,10.0,-57.6567,33.85,52.92,0.541
121,-100,-60.0,40.0,3.0,2.5,-51.5533,21.71,62.64,0.2223
122,-100,-60.0,40.0,3.0,4.0,-51.0,21.49,62.81,0.2327
123,-100,-60.0,40.0,3.0,5.5,-56.5467,33.49,53.22,0.333
127,-100,-60.0,40.0,3.5,1.0,-45.1033,20.03,63.98,0.1563
124,-100,-60.0,40.0,3.0,7.0,-51.1533,20.19,63.86,0.239
125,-100,-60.0,40.0,3.0,8.5,-57.4633,33.68,53.06,0.4942
128,-100,-60.0,40.0,3.5,2.5,-47.9233,20.1,63.93,0.1771
126,-100,-60.0,40.0,3.0,10.0,-50.3933,20.24,63.8,0.2337
129,-100,-60.0,40.0,3.5,4.0,-42.1233,20.04,63.97,0.152
130,-100,-60.0,40.0,3.5,5.5,-41.8367,20.03,63.98,0.1509
132,-100,-60.0,40.0,3.5,8.5,-44.5967,20.04,63.97,0.1762
131,-100,-60.0,40.0,3.5,7.0,-45.2233,20.18,63.86,0.1987
133,-100,-60.0,40.0,3.5,10.0,-45.5767,20.04,63.97,0.1998
134,-100,-60.0,40.0,4.0,1.0,-40.0067,20.05,63.97,0.2098
142,-100,-60.0,45.0,2.0,2.5,-66.1867,90.36,7.71,1.6272
135,-100,-60.0,40.0,4.0,2.5,-36.5933,20.02,63.99,0.1524
141,-100,-60.0,45.0,2.0,1.0,-62.4067,84.66,12.27,0.7976
136,-100,-60.0,40.0,4.0,4.0,-35.5733,20.03,63.98,0.1338
137,-100,-60.0,40.0,4.0,5.5,-34.9133,20.01,64.0,0.1983
138,-100,-60.0,40.0,4.0,7.0,-36.63,20.03,63.97,0.1537
144,-100,-60.0,45.0,2.0,5.5,-67.75,85.16,11.87,1.4989
139,-100,-60.0,40.0,4.0,8.5,-40.4967,20.03,63.98,0.1937
140,-100,-60.0,40.0,4.0,10.0,-34.0633,20.01,63.99,0.1441
143,-100,-60.0,45.0,2.0,4.0,-68.2367,87.24,10.21,1.0051
145,-100,-60.0,45.0,2.0,7.0,-65.01,60.79,31.37,0.9357
146,-100,-60.0,45.0,2.0,8.5,-66.45,59.55,32.37,0.9362
