id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
3720,-100,-80.0,30.0,2.25,4.0,-76.54,7.6275,-100,79.18,24.99,1.541146,1.189839,10.9183,0.0554
3721,-100,-80.0,30.0,2.25,5.5,-76.47,8.7437,-100,80.15,23.81,1.752464,1.168024,8.0266,0.0741
3722,-100,-80.0,30.0,2.25,7.0,-76.35,9.8615,-100,80.55,23.34,1.792036,1.22076,8.0075,0.0597
3723,-100,-80.0,30.0,2.25,8.5,-75.44,10.8306,-100,80.95,22.85,1.834433,1.18517,6.8674,0.0998
3724,-100,-80.0,30.0,2.25,10.0,-76.23,11.4225,-100,80.72,23.14,1.827838,1.227626,7.3454,0.0717
3725,-100,-80.0,30.0,2.25,11.5,-75.89,13.1324,-100,81.49,22.22,1.912085,1.37122,7.9655,0.0863
3726,-100,-80.0,30.0,2.25,13.0,-75.02,14.0382,-100,80.59,23.29,1.875856,1.313712,7.7067,0.1035
3727,-100,-80.0,30.0,2.5,1.0,-73.14,6.9559,-86,77.37,27.15,1.20704,0.946104,8.7021,0.0397
3728,-100,-80.0,30.0,2.5,2.5,-73.44,6.9186,-89,77.26,27.29,1.249512,1.10563,9.0729,0.0578
3729,-100,-80.0,30.0,2.5,4.0,-73.63,7.4762,-95,79.03,25.17,1.453091,1.169398,8.4841,0.0835
3730,-100,-80.0,30.0,2.5,5.5,-73.5,9.3979,-100,79.03,25.17,1.482647,1.062927,7.4373,0.0819
3731,-100,-80.0,30.0,2.5,7.0,-73.57,10.0493,-100,79.42,24.69,1.633934,1.123242,6.9056,0.0953
3732,-100,-80.0,30.0,2.5,8.5,-73.75,10.7962,-100,79.52,24.57,1.653392,1.244833,8.5383,0.0914
3733,-100,-80.0,30.0,2.5,10.0,-73.72,12.1666,-100,79.93,24.08,1.733902,1.080618,5.5766,0.1099
3734,-100,-80.0,30.0,2.5,11.5,-73.71,13.458,-100,79.9,24.11,1.748862,1.18292,7.0459,0.0915
3735,-100,-80.0,30.0,2.5,13.0,-73.32,14.7087,-100,80.37,23.56,1.751632,1.206914,6.934,0.097
3737,-100,-80.0,30.0,2.75,2.5,-71.06,7.8936,-90,77.46,27.05,1.242958,0.828997,6.2654,0.0958
3736,-100,-80.0,30.0,2.75,1.0,-70.74,7.64,-85,77.44,27.07,1.195768,0.904277,7.774,0.077
3738,-100,-80.0,30.0,2.75,4.0,-71.24,8.6863,-95,78.69,25.58,1.403786,0.937284,6.3043,0.0855
3739,-100,-80.0,30.0,2.75,5.5,-71.03,9.3531,-100,78.41,25.91,1.361367,0.996052,6.208,0.1009
3740,-100,-80.0,30.0,2.75,7.0,-71.16,10.523,-100,78.63,25.64,1.45498,1.062485,6.3206,0.0861
3741,-100,-80.0,30.0,2.75,8.5,-70.59,11.2836,-100,78.62,25.67,1.421697,0.904189,4.6117,0.1207
3743,-100,-80.0,30.0,2.75,11.5,-70.75,13.9626,-100,79.17,25.01,1.535348,0.982301,5.4037,0.1166
3742,-100,-80.0,30.0,2.75,10.0,-70.69,13.0752,-100,78.77,25.48,1.544594,1.098654,7.0159,0.1165
