id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
324,-100,-60.0,40.0,4.0,1.0,-39.7067,20.03,63.98,0.1423
325,-100,-60.0,40.0,4.0,1.5,-36.7333,20.03,63.98,0.1491
326,-100,-60.0,40.0,4.0,2.0,-33.9667,20.04,63.98,0.1322
327,-100,-60.0,40.0,4.0,2.5,-38.02,20.03,63.98,0.1433
328,-100,-60.0,40.0,4.0,3.0,-36.7667,20.04,63.97,0.1313
329,-100,-60.0,40.0,4.0,3.5,-33.3167,20.05,63.98,0.1768
330,-100,-60.0,40.0,4.0,4.0,-33.4,20.04,63.97,0.1352
331,-100,-60.0,40.0,4.0,4.5,-33.1433,20.03,63.98,0.1327
332,-100,-60.0,40.0,4.0,5.0,-34.7967,20.02,63.99,0.1481
333,-100,-60.0,40.0,4.0,5.5,-36.96,20.02,63.99,0.1643
335,-100,-60.0,40.0,4.0,6.5,-39.7633,20.04,63.98,0.1515
334,-100,-60.0,40.0,4.0,6.0,-37.4567,20.03,63.98,0.1343
336,-100,-60.0,40.0,4.0,7.0,-37.4067,20.02,63.99,0.147
